OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.060311,0.151016,0.142585,108.574758,6.923916,0.379565,1.165977,107.286710,209.708782,242.002402,1
0.054284,0.156198,0.175538,107.036919,7.166250,0.187098,1.183109,102.654711,186.231787,213.315193,1
0.049226,0.146445,0.167798,101.416509,7.382656,0.370570,1.277651,88.353075,178.754171,206.832919,1
0.060110,0.147542,0.164534,115.734660,7.390143,0.345200,1.577905,106.674949,183.179721,208.572820,1
0.055168,0.143962,0.175024,99.664835,7.142871,0.260797,2.230782,96.125668,178.194358,204.551781,1
0.061337,0.156399,0.192917,105.655872,6.886218,0.505485,2.732748,102.552467,184.601173,211.288381,1
0.060747,0.144076,0.166077,104.770127,24.068544,0.350767,1.292502,102.862477,181.407007,207.080425,1
0.052410,0.151245,0.163959,87.190811,14.707273,0.345282,0.955719,85.292198,131.987617,147.745911,2
0.055172,0.143155,0.159070,5.501965,6.718950,0.204484,0.868284,2.526501,6.798110,6.323049,2
0.058558,0.151864,0.160672,5.900479,7.214428,0.338904,0.869087,2.579325,6.519209,5.999920,2
0.054475,0.151072,0.202841,5.628073,7.231529,0.455584,0.883355,2.479469,6.300556,5.803868,2
0.063705,0.141906,0.218500,6.085623,7.530882,0.537739,0.848008,2.437476,6.422177,5.954303,2
0.057539,0.146808,0.212964,5.708221,6.771074,0.560303,0.833376,2.416737,6.795800,6.363023,2
0.050578,0.145711,0.178335,5.520009,6.554392,0.801836,0.902359,2.201288,6.873557,6.523759,2
0.058280,0.142851,0.224472,5.920096,6.632188,0.732289,0.912076,2.212542,7.091851,6.751834,2
0.058891,0.145585,0.166874,6.142599,7.266247,0.353821,0.898791,2.323940,7.456014,7.098914,2
0.050785,0.141652,0.167440,6.148819,6.920658,0.323921,0.887834,2.226137,7.617725,7.298948,2
